OBJECTID,PERCENT_,STARTX,STARTY,LL,LR,UL,UR,COUNT_,AVE_EAARCO,AVE_LN_EAA,SUM_LN_EAA,SUM_SQLN_E,STDDEV,KHAT,ShapeSTArea,ShapeSTLength
1,13.054,260000,150000,2615,2715,2616,2716,15,108.8474,4.2823,64.2341,286.6416,2.48239,1.12,100000000,40000
2,18.39,260000,160000,2616,2716,2617,2717,10,118.8615,4.3899,43.899,201.5885,2.69959,0.91,100000000,40000
3,17.677,260000,170000,2617,2717,2618,2718,23,131.8425,4.4655,102.7063,476.1664,2.44174,0.93,100000000,40000
4,22.319,270000,130000,2713,2813,2714,2814,14,145.1556,4.7573,66.6019,323.2825,2.02136,0.77,98712391.34,76408.25674
5,32.923,270000,140000,2714,2814,2715,2815,15,227.8776,4.891,73.3653,370.5361,2.4952,0.45,100000000,40000
6,44.974,270000,150000,2715,2815,2716,2816,12,211.2252,5.2279,62.7344,331.3521,1.74147,0.13,100000000,40000
7,26.647,270000,160000,2716,2816,2717,2817,19,165.5227,4.7647,90.5284,444.0556,2.31778,0.63,100000000,40000
8,12.455,270000,170000,2717,2817,2718,2818,35,112.0393,4.423,154.8034,704.232,2.13435,1.15,100000000,40000
9,10.651,270000,180000,2718,2818,2719,2819,32,116.5007,4.4447,142.2308,646.8593,1.99023,1.24,100000000,40000
10,5.043,280000,140000,2814,2914,2815,2915,15,100.8063,4.5011,67.5172,307.405,1.64874,1.59,100000000,40000
11,4.787,280000,150000,2815,2915,2816,2916,10,85.1895,4.2578,42.5778,185.1748,1.9295,1.58,100000000,40000
12,10.93,280000,160000,2816,2916,2817,2917,15,105.7019,4.423,66.3445,300.7025,2.05499,1.22,100000000,40000
13,11.191,280000,170000,2817,2917,2818,2918,22,114.3222,4.5324,99.7133,460.3241,1.8809,1.21,100000000,40000
14,17.408,280000,180000,2818,2918,2819,2919,25,142.031,4.5407,113.5177,531.0049,2.23679,0.94,100000000,40000
15,28.669,290000,150000,2915,3015,2916,3016,18,178.6159,4.8176,86.7161,429.9462,2.33185,0.57,100000000,40000
16,0,290000,160000,2916,3016,2917,3017,7,76.9503,4.2661,29.8625,128.603,1.56612,2.3,100000000,40000
17,0.268,290000,170000,2917,3017,2918,3018,14,71.0026,4.1585,58.2186,244.97,1.59972,2.43,100000000,40000
18,12.851,290000,180000,2918,3018,2919,3019,20,119.1456,4.4185,88.3705,401.9058,2.17255,1.13,100000000,40000
19,12.27,300000,180000,3018,3118,3019,3119,7,106.2201,4.4838,31.3865,143.719,2.02541,1.15,100000000,40000
20,0,190000,320000,1932,2032,1933,2033,7,50.578,3.8226,26.7582,103.9047,1.68105,2.84,100000000,40000
21,0.016,190000,330000,1933,2033,1934,2034,11,47.9296,3.697,40.6675,153.9624,1.82407,2.66,100000000,40000
22,1.634,200000,310000,2031,2131,2032,2132,11,60.1369,3.6285,39.9138,152.2028,2.36021,1.94,100000000,40000
23,0,200000,320000,2032,2132,2033,2133,9,32.5359,3.4561,31.1046,107.9144,1.25572,8.09,100000000,40000
24,0.316,200000,330000,2033,2133,2034,2134,11,56.6989,3.8187,42.0062,164.5404,1.90144,2.3,100000000,40000
25,3.252,210000,310000,2131,2231,2132,2232,6,82.01,4.1611,24.9664,106.4107,2.03495,1.6,100000000,40000
26,0,210000,320000,2132,2232,2133,2233,8,35.7127,3.5246,28.1968,100.2756,1.42932,4.97,100000000,40000
27,0.654,220000,280000,2228,2328,2229,2329,7,63.0839,3.8669,27.068,107.8977,2.08271,1.95,100000000,40000
28,0,220000,290000,2229,2329,2230,2330,24,39.8446,3.6308,87.139,318.8654,1.38887,5.08,100000000,40000
29,0,220000,300000,2230,2330,2231,2331,8,47.2785,3.7459,29.967,114.2423,1.70428,2.91,100000000,40000
30,28.926,220000,310000,2231,2331,2232,2332,6,195.7205,4.6462,27.8773,135.5718,3.00357,0.59,100000000,40000
31,5.262,220000,320000,2232,2332,2233,2333,8,74.2263,4.0111,32.0885,133.7119,2.32891,1.52,100000000,40000
32,18.194,230000,280000,2328,2428,2329,2429,6,123.355,4.5425,27.255,127.0887,2.24856,0.93,100000000,40000
33,0,230000,290000,2329,2429,2330,2430,11,45.9502,3.7489,41.2383,156.2792,1.50653,3.78,100000000,40000
34,0.013,230000,300000,2330,2430,2331,2431,13,53.0191,3.8547,50.1108,196.3122,1.66938,2.82,100000000,40000
35,0.242,230000,310000,2331,2431,2332,2432,14,64.4336,4.0473,56.662,232.7097,1.66542,2.45,100000000,40000
36,0.98,230000,320000,2332,2432,2333,2433,1,39.325,3.6719,3.6719,13.4826,0,0,100000000,40000
37,8.722,240000,280000,2428,2528,2429,2529,11,111.7109,4.5423,49.9648,230.1618,1.76205,1.33,100000000,40000
38,0,240000,290000,2429,2529,2430,2530,6,36.8852,3.5306,21.1834,75.6762,1.5237,4.2,100000000,40000
39,1.122,240000,300000,2430,2530,2431,2531,10,72.1591,4.1306,41.3063,173.6655,1.78892,2.01,100000000,40000
40,0,240000,310000,2431,2531,2432,2532,7,31.7039,3.4334,24.0335,82.8214,1.25327,8.26,100000000,40000
41,0.3,240000,320000,2432,2532,2433,2533,1,39.918,3.6868,3.6868,13.5927,0,0,100000000,40000
42,4.168,250000,280000,2528,2628,2529,2629,12,94.3977,4.4361,53.233,239.14,1.68491,1.65,100000000,40000
43,1.557,250000,290000,2529,2629,2530,2630,10,68.0369,3.9311,39.3105,159.0697,2.03419,1.93,100000000,40000
44,0.773,250000,300000,2530,2630,2531,2631,5,79.7702,4.2162,21.081,90.5129,1.89381,1.69,100000000,40000
45,0,250000,310000,2531,2631,2532,2632,7,46.4151,3.6796,25.7574,96.9434,1.82358,2.69,100000000,40000
46,7.604,260000,280000,2628,2728,2629,2729,10,89.9937,4.2195,42.1948,183.4548,2.172,1.39,100000000,40000
47,0.117,260000,290000,2629,2729,2630,2730,6,78.2225,4.223,25.3383,108.514,1.73218,1.96,100000000,40000
48,0,260000,300000,2630,2730,2631,2731,8,53.8531,3.8605,30.8841,121.3727,1.73926,2.6,100000000,40000
49,0,260000,310000,2631,2731,2632,2732,7,51.1551,3.8553,26.9868,105.3436,1.5935,3.1,100000000,40000
50,23.614,270000,280000,2728,2828,2729,2829,12,155.3501,4.6012,55.2138,264.1542,2.60794,0.73,100000000,40000
51,4.034,270000,290000,2729,2829,2730,2830,8,88.092,4.3155,34.5236,151.5863,1.83973,1.61,100000000,40000
52,0.79,270000,300000,2730,2830,2731,2831,11,66.8165,4.0475,44.5221,183.6739,1.80265,2.12,100000000,40000
53,0.667,280000,290000,2829,2929,2830,2930,14,71.0969,4.123,57.7218,241.6111,1.69562,2.23,100000000,40000
54,0,60000,140000,614,714,615,715,0,0,0,0,0,0,0,925352.2023,6101.371188
55,0,70000,140000,714,814,715,815,7,19.1447,2.9034,20.3239,59.6737,1.39504,7.19,21920390.25,32866.10954
56,0.16,70000,150000,715,815,716,816,0,0,0,0,0,0,0,14618257.37,31975.40198
57,0,80000,140000,814,914,815,915,7,41.8197,3.5805,25.0636,91.8715,1.81475,2.88,31556922.73,46859.1216
58,0.024,80000,150000,815,915,816,916,23,32.1723,3.1928,73.4355,244.7965,1.98411,3.07,65763463.24,46256.83261
59,0.06,80000,160000,816,916,817,917,4,23.435,3.1295,12.518,39.3748,0,0,5796587.579,19028.61168
60,0.006,90000,150000,915,1015,916,1016,13,32.7405,3.0885,40.1507,131.0005,2.14569,2.89,53792179.24,78539.09591
61,0,90000,160000,916,1016,917,1017,22,27.4005,3.1799,69.9574,228.3782,1.70068,3.99,72415420.81,52453.4754
62,0,90000,170000,917,1017,918,1018,0,0,0,0,0,0,0,1654285.053,18539.41878
63,0.666,100000,140000,1014,1114,1015,1115,13,53.4384,3.7589,48.866,189.4932,2.00531,2.21,83539933.11,47739.85476
64,0,100000,150000,1015,1115,1016,1116,20,30.1502,3.2986,65.9722,222.0477,1.62082,4.14,78976205.77,42036.01923
65,0.034,100000,160000,1016,1116,1017,1117,23,35.7991,3.3262,76.5023,263.9056,1.92555,3.01,100000000,40000
66,0,100000,170000,1017,1117,1018,1118,26,25.6466,3.0991,80.5778,256.4072,1.67716,4.25,85064642.11,43076.50189
67,0.004,100000,180000,1018,1118,1019,1119,22,35.0955,3.3888,74.5532,259.5975,1.77786,3.32,45548524.29,63210.4064
68,19.962,100000,190000,1019,1119,1020,1120,14,176.4297,4.063,56.8822,258.4656,4.26537,0.85,48899407.92,37554.92657
69,11.48,100000,200000,1020,1120,1021,1121,0,0,0,11.48,0,0,0,5265052.108,12573.33045
70,0.118,110000,140000,1114,1214,1115,1215,20,48.4046,3.7082,74.164,281.5288,1.79592,2.72,89484129.44,49296.93412
71,0.01,110000,150000,1115,1215,1116,1216,17,34.4192,3.338,56.7454,196.0746,1.90637,3.04,79363520.01,68658.78783
72,0.001,110000,160000,1116,1216,1117,1217,18,35.739,3.4048,61.2872,214.2427,1.77246,3.31,100000000,40000
73,0.96,110000,170000,1117,1217,1118,1218,3,22.5923,3.0982,9.2946,28.9179,0,0,100000000,40000
74,0.01,110000,180000,1118,1218,1119,1219,16,37.9502,3.4317,54.907,194.2257,1.86252,3,99867829.42,45941.45296
75,11.842,110000,190000,1119,1219,1120,1220,39,112.1206,3.8787,151.2685,641.2792,3.31418,1.18,100000000,40000
76,14.448,110000,200000,1120,1220,1121,1221,12,107.5353,4.2774,51.3292,229.6704,2.60867,1.06,83483825.13,38991.36743
77,10.5,110000,210000,1121,1221,1122,1222,1,150.888,5.0165,5.0165,25.1656,0,0,7439180.309,14967.10734
78,4.974,120000,150000,1215,1315,1216,1316,27,89.1593,3.7937,102.4297,410.9699,2.52904,1.62,58678818.42,106279.0402
79,11.588,120000,160000,1216,1316,1217,1317,21,138.763,3.9371,82.6784,351.586,3.1325,1.19,94300066.1,69336.13459
80,3.263,120000,170000,1217,1317,1218,1318,22,66.244,3.7619,82.7615,326.7568,2.35568,1.79,100000000,40000
81,27.719,120000,180000,1218,1318,1219,1319,15,176.8424,4.5468,68.2023,332.1405,3.50651,0.6,100000000,40000
82,41.81,120000,190000,1219,1319,1220,1320,19,259.0127,5.0787,96.4956,509.1925,2.80278,0.21,100000000,40000
83,19.34,120000,200000,1220,1320,1221,1321,18,141.5856,4.4974,80.9534,378.4682,2.50919,0.87,94470344.31,53610.01426
84,0,120000,210000,1221,1321,1222,1322,6,73.459,4.1819,25.0912,106.1995,1.65578,2.21,11874403.45,43303.12547
85,13.973,130000,150000,1315,1415,1316,1416,10,104.6283,4.3062,43.0621,192.9865,2.49935,1.08,55683381.02,74487.12743
86,0,130000,160000,1316,1416,1317,1417,6,39.133,3.3759,20.2555,71.4692,2.19442,2.45,54137340.17,99959.02339
87,27.811,130000,170000,1317,1417,1318,1418,67,191.6932,4.6424,311.0398,1524.5486,3.0191,0.59,98380506.44,66050.60677
88,23.237,130000,180000,1318,1418,1319,1419,14,147.3807,4.5904,64.2656,307.058,2.61928,0.74,100000000,40000
89,26.455,130000,190000,1319,1419,1320,1420,13,184.2765,4.7401,61.6213,301.2076,2.39076,0.64,100000000,40000
90,4.875,130000,200000,1320,1420,1321,1421,14,79.1606,4.1779,58.4899,250.7094,2.01126,1.6,100000000,40000
91,15.159,130000,210000,1321,1421,1322,1422,17,129.1395,3.9191,66.6241,289.7777,3.81404,1.03,53562028.48,181669.3506
92,20.755,140000,150000,1415,1515,1416,1516,19,133.8001,4.4434,84.4251,394.7234,2.83811,0.82,80898830.44,87706.47011
93,10.097,140000,160000,1416,1516,1417,1517,33,90.6331,4.029,132.9575,567.8739,2.72618,1.27,96757134.03,55362.62636
94,16.131,140000,170000,1417,1517,1418,1518,24,128.6938,4.1847,100.4333,449.4989,3.08641,0.99,100000000,40000
95,13.293,140000,180000,1418,1518,1419,1519,20,116.7044,4.2067,84.1332,372.4063,2.68156,1.11,100000000,40000
96,4.992,140000,190000,1419,1519,1420,1520,21,76.5725,3.977,83.5169,345.5575,2.26796,1.61,100000000,40000
97,0.724,140000,200000,1420,1520,1421,1521,14,65.447,4.0144,56.2011,230.0171,1.78985,2.21,100000000,40000
98,1.617,150000,150000,1515,1615,1516,1616,49,57.5836,3.7512,183.8106,715.6314,2.09091,2.1,95023241.8,83619.34819
99,0.111,150000,160000,1516,1616,1517,1617,14,43.8604,3.5815,50.1408,185.2902,1.94029,2.59,99958061.35,41291.51247
100,0,150000,170000,1517,1617,1518,1618,15,36.5027,3.4695,52.0432,184.7958,1.73263,3.33,100000000,40000
101,0.384,150000,180000,1518,1618,1519,1619,27,45.6284,3.6013,97.2358,362.0634,1.96623,2.51,100000000,40000
102,0.054,150000,190000,1519,1619,1520,1620,19,41.1264,3.5237,66.9506,242.8979,1.86423,2.85,100000000,40000
103,1.023,160000,150000,1615,1715,1616,1716,21,67.2381,4.0664,85.3935,353.5471,1.75337,2.19,100000000,40000
104,0.99,160000,160000,1616,1716,1617,1717,21,47.799,3.3927,71.246,256.737,2.37902,2.2,100000000,40000
105,1.374,160000,170000,1617,1717,1618,1718,15,68.4334,4.0016,60.0245,245.8247,1.88527,2.05,100000000,40000
106,1.875,160000,180000,1618,1718,1619,1719,30,55.3924,3.732,111.9598,435.2159,2.16888,2.02,100000000,40000
107,0,160000,190000,1619,1719,1620,1720,8,25.9386,3.1827,25.4616,82.292,1.52727,5,100000000,40000
108,9.343,170000,170000,1717,1817,1718,1818,25,109.8894,3.9991,99.9768,423.5252,2.70191,1.31,100000000,40000
109,5.341,170000,180000,1718,1818,1719,1819,21,74.1104,3.8559,80.9747,328.843,2.48758,1.58,100000000,40000
110,0,170000,190000,1719,1819,1720,1820,11,33.4706,3.29,36.1902,123.5186,1.94887,3.01,100000000,40000
111,1.929,180000,180000,1818,1918,1819,1919,26,65.0857,3.9266,102.0913,412.625,1.98516,2,100000000,40000
